Date,Game A - game,Game A - duration,Game A - console,Game A - rating
2025-11-12,Mario Galaxy 2,30,Switch 2,90
2025-11-14,Mario Galaxy 2,90,Switch 2,90
2025-11-17,Smash Ultimate,45,Switch 2,95
2025-11-19,Smash Ultimate,120,Switch 2,9
2025-11-20,Smash Ultimate,180,Switch 2,9
2025-11-21,Smash Ultimate,300,Switch 2,8
2025-11-22,Smash Ultimate,360,Switch 2,9
2026-01-09,Smash Ultimate,180,Switch 2,9
2026-01-10,Smash Ultimate,180,Switch 2,9
2026-01-12,Smash Ultimate,90,Switch,8
2026-01-16,Smash Ultimate,60,Switch 2,9
