Date,Main Sleep - start,Main Sleep - end,Main Sleep - duration,Main Sleep - quality,Nap - start,Nap - end,Nap - duration,Nap - quality
2025-11-09,01:50,08:30,400,8,10:00,17:00,420,7
2025-11-11,1:20,8:30,430,9,,,,
2025-11-10,1:50,8:30,400,7,,,,
2025-11-12,1:30,8:20,410,7,,,,
2025-11-13,2:30,8:20,350,6,,,,
2025-11-14,3:15,8:35,320,7,,,,
2025-11-15,2:00,8:30,390,7,,,,
2025-11-16,2:00,10:20,500,9,,,,
2025-11-17,2:00,8:40,400,7,,,,
2025-11-18,12:15,9:15,560,8,,,,
2025-11-19,12:45,7:15,390,6,,,,
2025-11-20,1:00,10:30,570,5,,,,
2025-11-21,1:30,11:45,615,6,18:00,22:00,240,9
2025-11-22,1:00,10:30,570,9,18:00,21:30,210,9
2026-01-05,22:00,5:45,465,9,,,,
2026-01-06,19:00,1:00,360,6,,,,
2026-01-07,7:30,1:30,360,6,,,,
2026-01-08,10:30,4:30,360,6,,,,
2026-01-09,11:00,4:50,350,5,7:00,10:00,180,7
2026-01-10,3:00,9:00,360,4,4:00,8:00,240,8
2026-01-11,3:00,9:00,360,3,11:00,6:30,450,6
2026-01-12,1:00,4:30,210,5,3:30,9:00,330,7
